Date,SXXP Index,SPY US INDEX,NKY INDEX,XAU CURNCY,CL1 COMDTY,SPDIV,RF,DFEDTARU
12/31/08,276.76878,90.24,98.07993,875.43,44.6,28.39,2.87,0.25
1/30/09,245.2716,82.83,88.89192,927.85,41.68,28.01333333,3.02,0.25
2/27/09,219.88507,73.93,77.26031,942.32,44.76,27.63666667,2.71,0.25
3/31/09,233.43893,79.52,81.62587,919.9,49.66,27.26,3.16,0.25
4/30/09,264.48381,87.42,89.27354,887.95,51.12,26.70333333,3.47,0.25
5/29/09,293.9717,92.53,99.61816,975.75,66.31,26.14666667,3.53,0.25
6/30/09,289.19115,91.95,103.38912,930,69.89,25.59,3.52,0.25
7/31/09,320.33931,98.81,109.44552,954,69.45,25.02666667,3.4,0.25
8/31/09,338.4712,102.46,113.02952,950.94,69.96,24.46333333,3.31,0.25
9/30/09,355.04882,105.59,112.9932,1007.6,70.61,23.9,3.41,0.25
10/30/09,349.14005,103.56,111.49711,1045.45,77,23.40333333,3.21,0.25
11/30/09,358.18099,109.94,108.27888,1173.38,77.28,22.90666667,3.85,0.25
12/31/09,363.85349,111.44,114.16367,1098.65,79.36,22.41,3.63,0.25
1/29/10,343.00274,107.39,112.71043,1081.2,72.89,22.24,3.61,0.25
2/26/10,334.33716,110.74,113.9677,1117.59,79.66,22.07,3.84,0.25
3/31/10,356.68928,117,118.68515,1114.49,83.76,21.9,3.69,0.25
4/30/10,344.95255,118.8125,117.58188,1179.03,86.15,21.94666667,3.31,0.25
5/31/10,301.20291,109.369,107.19522,1216.45,73.97,21.99333333,2.97,0.25
6/30/10,298.23732,103.22,105.92278,1241.68,75.63,22.04,2.94,0.25
7/30/10,333.18068,110.27,110.30881,1181,78.95,22.14333333,2.47,0.25
8/31/10,318.88726,105.31,104.91095,1248.45,71.92,22.24666667,2.53,0.25
9/30/10,353.73864,114.13,112.26156,1307.6,79.97,22.35,2.63,0.25
10/29/10,370.10994,118.49,114.33035,1359.4,81.43,22.47666667,2.81,0.25
11/30/10,341.40014,118.4925,118.8499,1388.53,84.11,22.60333333,3.3,0.25
12/31/10,368.64765,125.75,125.13971,1421.4,91.38,22.73,3.42,0.25
1/31/11,383.58449,128.68,124.89838,1337.14,92.19,22.96333333,3.42,0.25
2/28/11,395.09942,133.15,129.79951,1411.88,96.97,23.19666667,3.47,0.25
3/31/11,391.5021,132.59,117.77255,1437.78,106.72,23.43,3.32,0.25
4/29/11,420.73223,136.43,120.7668,1563.7,113.93,23.73333333,3.05,0.25
5/31/11,403.7989,134.9,119.17544,1536.23,102.7,24.03666667,3.18,0.25
6/30/11,395.91986,131.97,121.84819,1504.72,95.42,24.34,2.82,0.25
7/29/11,381.48255,129.33,127.40386,1627.05,95.7,24.62,2.23,0.25
8/31/11,342.13663,122.22,117.03084,1834.99,88.81,24.9,1.92,0.25
9/30/11,304.18948,113.15,112.78571,1623.79,79.2,25.18,2.17,0.25
10/31/11,339.55721,125.5,115.30969,1724.48,93.19,25.59666667,2.08,0.25
11/30/11,322.85958,124.99,108.73546,1745.59,100.36,26.01333333,1.89,0.25
12/30/11,316.92384,125.5,109.824,1564.91,98.83,26.43,1.83,0.25
1/31/12,332.53931,131.32,115.38223,1730.91,98.48,26.73666667,1.98,0.25
2/29/12,353.05222,137.02,120.02518,1721.9,107.07,27.04333333,2.23,0.25
3/30/12,351.05822,140.81,122.03268,1668.15,103.02,27.35,1.95,0.25
4/30/12,340.35571,139.87,118.33072,1663.81,104.87,27.67333333,1.59,0.25
5/31/12,296.40217,131.47,108.96339,1566.84,86.53,27.99666667,1.67,0.25
6/29/12,317.75517,136.105,112.86692,1597.45,84.96,28.32,1.51,0.25
7/31/12,321.65423,137.71,111.28965,1615.73,88.06,28.74333333,1.57,0.25
8/31/12,334.67773,141.16,112.86913,1691.85,96.47,29.16666667,1.65,0.25
9/28/12,345.69485,143.97,113.83676,1772.25,92.19,29.59,1.72,0.25
10/31/12,350.5791,141.35,111.81327,1719.35,86.24,30.14333333,1.62,0.25
11/30/12,358.56916,142.155,114.46934,1714.98,88.91,30.69666667,1.78,0.25
12/31/12,369.0937,142.41,120.76185,1676.23,91.82,31.25,2.02,0.25
1/31/13,390.15965,149.7,121.96058,1662.51,97.49,31.53666667,1.89,0.25
2/28/13,379.3285,151.61,125.14193,1581.4,92.05,31.82333333,1.87,0.25
3/29/13,376.68472,156.67,131.5847,1597.5,97.23,32.11,1.7,0.25
4/30/13,390.42418,159.68,142.11894,1471.96,93.46,32.49666667,2.16,0.25
5/31/13,390.27145,163.445,136.55735,1387.8,91.97,32.88333333,2.52,0.25
6/28/13,370.66851,160.42,137.69576,1234.53,96.56,33.27,2.6,0.25
7/31/13,397.72241,168.71,139.01871,1308.29,105.03,33.64666667,2.78,0.25
8/30/13,392.58133,163.65,136.32889,1395.27,107.65,34.02333333,2.64,0.25
9/30/13,420.08343,168.01,147.19275,1331.77,102.33,34.4,2.57,0.25
10/31/13,438.39096,175.79,145.74245,1323.66,96.38,34.59666667,2.75,0.25
11/29/13,441.76238,181,152.85838,1253.35,92.72,34.79333333,3.04,0.25
12/31/13,452.63771,184.69,155.03721,1204.99,98.42,34.99,2.67,0.25
1/31/14,435.56326,178.18,145.89191,1244.55,97.49,35.40333333,2.66,0.25
2/28/14,466.73802,186.29,145.4009,1326.39,102.59,35.81666667,2.73,0.25
3/31/14,460.41173,187.01,143.86174,1286.92,101.58,36.23,2.67,0.25
4/30/14,468.51827,188.31,140.04416,1293.5,99.74,36.61333333,2.48,0.25
5/30/14,469.57778,192.68,143.76479,1249.68,102.71,36.99666667,2.53,0.25
6/30/14,468.00634,195.72,149.69,1318.35,105.37,37.38,2.58,0.25
7/31/14,449.72262,193.09,151.87914,1282.28,98.17,37.75,2.35,0.25
8/29/14,449.559,200.71,148.2706,1287.32,95.96,38.12,2.52,0.25
9/30/14,433.27573,197.02,147.48787,1208.67,91.16,38.49,2.35,0.25
10/31/14,422.04408,201.66,146.36847,1172.94,80.54,38.80666667,2.18,0.25
11/28/14,431.80538,207.2,147.07986,1167.38,66.15,39.12333333,2.17,0.25
12/31/14,414.4734,205.54,146.08045,1187.96,53.27,39.44,1.68,0.25
1/30/15,414.32604,199.45,150.52282,1283.79,48.24,39.89666667,2,0.25
2/27/15,439.07909,210.66,156.98964,1213.18,49.76,40.35333333,1.94,0.25
3/31/15,426.22344,206.43,160.12497,1183.88,47.6,40.81,2.05,0.25
4/30/15,443.83891,208.46,163.14258,1181.44,59.63,41.12,2.12,0.25
5/29/15,438.77735,211.14,165.68488,1190.58,60.3,41.43,2.35,0.25
6/30/15,425.27504,205.85,165.70365,1173.76,59.47,41.74,2.2,0.25
7/31/15,436.12591,210.5,166.03678,1095.8,47.12,41.99666667,2.21,0.25
8/31/15,406.46992,197.67,155.79777,1133.72,49.2,42.25333333,2.06,0.25
9/30/15,388.87641,191.63,145.30083,1114.9,45.09,42.51,2.16,0.25
10/30/15,413.69285,207.93,158.10356,1142.11,46.59,42.80333333,2.21,0.25
11/30/15,407.01408,208.69,160.35298,1064.17,41.65,43.09666667,2.27,0.5
12/31/15,397.48915,203.87,157.81204,1062.19,37.04,43.39,1.94,0.5
1/29/16,371.12336,193.7208,144.83919,1118.21,33.62,43.55333333,1.74,0.5
2/29/16,363.138,193.56,141.91765,1232.07,33.75,43.71666667,1.78,0.5
3/31/16,384.15427,205.52,148.96596,1232.44,38.34,43.88,1.83,0.5
4/29/16,390.65312,206.3308,153.831,1293.53,45.92,44.07333333,1.84,0.5
5/31/16,387.02456,209.84,155.71901,1214.88,49.1,44.26666667,1.49,0.5
6/30/16,365.27612,209.475,150.94408,1316.13,48.33,44.46,1.46,0.5
7/29/16,381.44667,217.12,161.88832,1351.28,41.6,44.65,1.58,0.5
8/31/16,383.31077,217.38,163.51084,1308.17,44.7,44.84,1.6,0.5
9/30/16,385.03058,216.3,162.17924,1315.87,48.24,45.03,1.84,0.5
10/31/16,371.61281,212.55,165.96838,1273.76,46.86,45.25333333,2.37,0.5
11/30/16,362.4752,220.38,160.41777,1174.94,49.44,45.47666667,2.45,0.75
12/30/16,381.18967,223.53,163.87491,1147.5,53.72,45.7,2.45,0.75
1/31/17,388.35341,227.53,168.50743,1210.59,52.81,45.92666667,2.36,0.75
2/28/17,392.75059,236.47,170.79677,1256.37,54.01,46.15333333,2.4,1
3/31/17,407.70546,235.74,169.87926,1249.2,50.6,46.38,2.29,1
4/28/17,421.96681,238.08,172.29169,1268.28,49.33,46.66,2.21,1
5/31/17,438.23176,241.44,177.56004,1269.86,48.32,46.94,2.31,1.25
6/30/17,432.97498,241.8,178.31268,1241.61,46.04,47.22,2.3,1.25
7/31/17,446.27864,246.77,180.46536,1267.9,50.17,47.53666667,2.12,1.25
8/31/17,444.20683,247.49,178.35897,1316.96,47.23,47.85333333,2.33,1.25
9/29/17,458.14525,251.23,180.75191,1279.75,51.67,48.17,2.38,1.25
10/31/17,460.35226,257.15,193.62781,1270.34,54.38,48.42333333,2.42,1.25
11/30/17,459.81308,265.01,201.98169,1271.72,57.4,48.67666667,2.4,1.5
12/29/17,467.8722,266.86,202.21123,1302.8,60.42,48.93,2.72,1.5
1/31/18,490.96359,281.9,211.21333,1339.79,64.73,49.28666667,2.87,1.5
2/28/18,463.49027,271.65,206.76698,1319.32,61.64,49.64333333,2.74,1.75
3/30/18,455.83632,263.15,201.97985,1325.48,64.94,50,2.95,1.75
4/30/18,466.27573,264.51,205.95719,1317.16,68.57,50.33,2.83,1.75
5/31/18,447.06933,270.94,204.17344,1301.91,67.04,50.66,2.85,2
6/29/18,443.64426,271.28,201.34058,1252.6,74.15,50.99,2.96,2
7/31/18,458.37951,281.33,201.73274,1226.1,68.76,51.44,2.86,2
8/31/18,443.23047,290.31,205.84399,1200.12,69.8,51.89,3.05,2.25
9/28/18,445.02525,290.72,212.51137,1192.52,73.25,52.34,3.15,2.25
10/31/18,408.83627,270.63,193.90057,1213.34,65.31,52.81,3.01,2.25
11/30/18,404.49994,275.65,196.68303,1220.52,50.93,53.28,2.69,2.5
12/31/18,386.67678,249.92,181.27679,1281.58,45.41,53.75,2.63,2.5
1/31/19,410.67715,269.93,190.89772,1322.06,53.79,54.14666667,2.73,2.5
2/28/19,424.32096,278.68,192.08803,1315.29,57.22,54.54333333,2.41,2.5
3/29/19,425.37689,282.48,191.44001,1292.38,60.14,54.94,2.51,2.5
4/30/19,438.9773,294.02,199.48674,1283.61,63.91,55.31909158,2.14,2.5
5/31/19,411.94477,275.27,189.83773,1305.58,53.5,55.69818316,2,2.5
6/28/19,437.17383,293,197.21839,1409.55,58.47,56.07727474,2.02,2.5
7/31/19,429.28486,297.43,198.19072,1424.61,58.58,56.45818316,1.5,2.25
8/30/19,416.97262,292.45,194.66313,1520.38,55.1,56.83909158,1.68,2
9/30/19,428.65145,296.77,201.16357,1470.54,54.07,57.22,1.69,1.75
10/31/19,442.21755,303.33,212.32673,1512.41,54.18,57.56,1.78,1.75
11/29/19,448.82489,314.31,212.92422,1463.97,55.17,57.9,1.92,1.75
12/31/19,466.94674,321.86,217.25246,1522.81,61.06,58.24,1.51,1.75
1/31/20,455.18989,321.73,214.03044,1589.16,51.56,58.68686786,1.13,1.75
2/28/20,413.25257,296.26,195.47855,1585.69,44.76,59.13373572,0.7,0.25
3/31/20,351.13783,257.75,175.51503,1597.89,20.48,59.58060359,0.64,0.25
4/30/20,371.89081,290.48,188.84962,1687.67,18.84,59.61373572,0.65,0.25
5/29/20,388.82953,304.32,202.93006,1730.27,35.49,59.64686786,0.66,0.25
6/30/20,405.13026,308.36,206.69702,1783.68,39.27,59.68,0.55,0.25
7/31/20,420.1487,326.52,205.12094,1975.86,40.27,59.40333333,0.72,0.25
8/31/20,437.75954,349.31,218.67095,1971.9,42.61,59.12666667,0.69,0.25
9/30/20,423.2697,334.89,219.7017,1897.9,40.22,58.85,0.88,0.25
10/30/20,398.71246,326.54,219.5407,1878.81,35.79,58.65961538,0.84,0.25
11/30/20,465.44094,362.06,253.46265,1778.1,45.34,58.46923076,0.93,0.25
12/31/20,487.81417,373.88,265.8031,1894.36,48.52,58.27884614,1.11,0.25
1/29/21,480.24522,370.07,264.21576,1847.65,52.2,58.06369311,1.44,0.25
2/26/21,489.22792,380.36,271.59878,1734.04,61.5,57.84854009,1.74,0.25
3/31/21,504.78,396.33,263.79893,1712.02,59.16,57.63338706,1.65,0.25
4/30/21,526.04895,417.3,263.61052,1769.13,63.58,57.71060542,1.58,0.25
5/31/21,546.29813,420.04,263.61052,1906.75,66.32,57.78782378,1.45,0.25
6/30/21,536.57012,428.06,259.17301,1772.28,73.47,57.86504213,1.24,0.25
7/30/21,547.57747,438.51,248.50706,1814.19,73.95,58.32818901,1.3,0.25
8/31/21,555.96802,451.56,255.42912,1814.06,68.5,58.79133588,1.52,0.25
9/30/21,526.26065,429.14,264.29164,1758.27,75.03,59.25448275,1.55,0.25
10/29/21,548.69099,459.25,253.24472,1783.38,83.57,59.63536093,1.43,0.25
11/30/21,523.65406,455.56,245.97082,1774.36,66.18,60.0162391,1.52,0.25
12/31/21,555.40908,474.96,249.97144,1829.2,75.21,60.39711728,1.79,0.25
1/31/22,526.03647,449.91,234.5347,1797,88.15,60.92140296,1.83,0.25
2/28/22,507.70976,436.63,230.44757,1899.26,95.72,61.44568864,2.32,0.5
3/31/22,505.18405,451.64,228.86994,1944.45,100.28,61.96997432,2.89,0.5
4/29/22,475.11641,412,204.99275,1896.93,104.69,62.65331622,2.85,1
5/31/22,475.80322,412.93,212.21159,1845.97,114.67,63.33665811,2.98,1.75
6/30/22,426.86776,377.25,194.53851,1809.95,105.76,64.02,2.67,2.5
7/29/22,446.92431,411.99,208.5488,1765.94,98.62,64.45276845,3.15,2.5
8/31/22,417.36165,395.18,202.51986,1716.22,89.55,64.8855369,3.83,3.25
9/30/22,379.70515,357.18,179.2234,1660.61,79.49,65.31830534,4.1,3.25
10/31/22,407.54214,386.21,185.61165,1635.55,86.53,65.85220356,3.68,4
11/30/22,453.90126,407.68,200.66717,1752.88,80.55,66.38610178,3.88,4.5
12/30/22,455.09968,382.43,199.17945,1824.02,80.26,66.92,3.52,4.5
1/31/23,492.41267,406.48,209.88564,1929.63,78.87,67.35,3.92,4.75
2/28/23,489.05327,396.26,202.08792,1829.36,77.05,67.78,3.48,5
3/31/23,497.6263,409.39,211.20343,1969.28,75.67,68.21,3.44,5
4/28/23,514.75058,415.93,212.05497,1990,76.78,68.37666667,3.64,5.25
5/31/23,480.58229,417.85,221.05403,1965.23,68.09,68.54333333,3.81,5.25
6/30/23,504.33517,443.28,229.95247,1919.35,70.64,68.71,3.97,5.5
7/31/23,518.81495,457.79,233.40994,1971.04,81.8,68.91104536,4.09,5.5
8/31/23,496.63214,450.35,224.1879,1941.78,83.63,69.11209073,4.59,5.5
9/29/23,476.24272,427.48,213.22281,1848.63,90.79,69.31313609,4.88,5.5
10/31/23,458.59545,418.2,203.67533,1984.21,81.02,69.64332137,4.37,5.5
11/30/23,502.69329,456.4,225.94218,2037.07,75.96,69.97350666,3.88,5.5
12/29/23,529.95454,475.31,237.60416,2062.98,71.65,70.30369194,3.99,5.5
1/31/24,526.95195,482.88,247.92778,2049.69,75.85,70.47740321,4.25,5.5
2/29/24,534.1788,508.08,261.12534,2045.74,78.26,70.65111447,4.2,5.5
3/29/24,553.47853,523.07,266.78192,2229.87,83.17,70.82482573,4.69,5.5
4/30/24,539.17203,501.98,243.90741,2294.79,81.93,71.20848369,4.51,5.5
5/31/24,562.059,527.37,244.86512,2327.33,76.99,71.59214165,4.36,5.5
6/28/24,548.03767,544.22,246.08691,2326.75,81.54,71.9757996,4.09,5.5
7/31/24,560.10076,550.81,259.70922,2426.97,77.91,72.45053307,3.91,5.5
8/30/24,580.18025,563.68,264.29426,2503.39,73.55,72.92526653,3.81,5
9/30/24,582.91777,573.76,264.94934,2639.18,68.17,73.4,4.28,5
10/31/24,548.95462,568.64,256.82625,2739.64,69.26,73.8774182,4.18,4.75
11/29/24,539.2322,602.55,255.40127,2660.69,68,74.35483639,4.58,4.5
12/31/24,525.33594,586.08,253.86281,2624.39,71.72,74.83225459,4.58,4.5
1/31/25,562.19026,601.82,255.70231,2798.41,72.53,75.26993672,4.24,4.5
2/28/25,579.31044,594.18,247.09384,2857.83,69.76,75.70761886,4.23,4.5
3/31/25,577.2743,559.39,237.60881,3117.66,71.48,76.145301,4.17,4.5
4/30/25,599.00629,554.54,252.63092,3310.76,58.21,76.54686733,4.41,4.5
5/30/25,622.74045,589.39,263.82974,3289.25,60.79,76.94843367,4.24,4.5
6/30/25,636.81353,617.85,280.71407,3297.33,65.11,77.35,4.37,4.5
7/31/25,623.82145,632.08,272.54509,3295.11,69.26,77.72666667,4.23,4.5
8/29/25,643.77383,645.05,290.77987,3447.95,64.01,78.10333333,4.16,4.25
9/30/25,656.25223,666.18,304.13314,3846.09,62.37,78.48,4.11,4
10/31/25,659.04604,682.06,340.11252,4002.92,60.98,78.62672008,4.02,4
11/28/25,668.83173,683.39,321.70738,4239.43,58.55,78.77344017,4.18,3.75
12/31/25,694.99418,681.92,321.98721,4322.02,57.42,78.92016025,4.26,3.75